comment_id,comment_text
aa16a86c-d73c-4448-9d3f-daa3bd854756,The stop near Paine Field could use better lighting and seating.
d08535d5-fe42-415e-afd8-d733ef3c82a3,I wish the bus arrived on time; today it was 5 minutes late.
25d8e134-bc28-4345-a0e1-775afbdee05b,Please continue to keep the buses well-maintained; it makes a big difference.
f479c38a-583e-4891-98dd-648a0ba6cfcd,Please continue to keep the buses quiet; it makes a big difference.
2619761a-39b1-4438-8eb9-13e07405c530,I appreciate the efficient service on route 180 this morning.
d2324004-d758-460e-a94d-818afe308b55,I love the real-time updates; they told me the bus was 5 minutes away.
60cc1421-0328-4012-9b82-3a239556b472,The driver on bus 162 was professional and helped me with my bags.
f7c35e23-2c2b-465b-b373-1575fbf4cab0,Boarding was quick and easy because the bus was climate-controlled.
2a3774c7-00ac-4457-969b-ca2ae40b7fac,I appreciate the attentive service on route 150 this morning.
da58f43a-8f7e-4eed-9c33-8ae8fdab759a,Boarding was quick and easy because the bus was quiet.
a382105a-f36c-4d5c-840e-3b7c04d18a82,Boarding was quick and easy because the bus was smooth.
2f0126ee-3583-44c4-849a-ab619ba5d196,I felt safe riding through downtown on route 50 thanks to the helpful driver.
b19b8d91-0273-4082-a3bf-fc9c3c181510,I appreciate the friendly service on route 201 this morning.
3470a1a1-62c5-4eb8-856d-128cd4fa3270,The driver's reliable attitude improved my day!
c2a9a9bd-cbc2-451f-a46b-586780adbffc,The driver's polite attitude improved my day!
60779aad-692c-47f9-b0e8-9cb19bcd761a,I love the real-time updates; they told me the bus was 20 minutes away.
3407f9aa-0009-4495-baf9-a34c60fd6465,The spacious seats on the hybrid bus made my commute much better.
f53b09ba-17f1-422d-bfd6-c8a272323726,I love the real-time updates; they told me the bus was 20 minutes away.
70a624b9-43af-424f-acca-9493788fafcf,The driver on bus 180 was courteous and helped me with my bags.
8447d59e-8b82-414a-9971-1166184e7879,I wish the bus arrived on time; today it was 15 minutes late.
f09df1e8-1aca-4e16-ace0-924e04dbe14c,I appreciate the attentive service on route 268 this morning.
de90fcbf-82a7-4070-99dd-6eac6312606f,I love the real-time updates; they told me the bus was 20 minutes away.
c295d706-6071-47ac-b51b-807676136fdc,Please continue to keep the buses well-maintained; it makes a big difference.
51fb44a6-5157-4519-93f7-48d099ec314a,The quiet seats on the hybrid bus made my commute much better.
9e630adb-2708-4d48-b5e8-f1ceefc83418,Please continue to keep the buses comfortable; it makes a big difference.
09c114eb-584e-4511-b3e0-34b423a6d0e0,I felt safe riding through downtown on route 101 thanks to the professional driver.
29f5534d-39f9-4bfe-9c2f-ba932065fb44,The quiet seats on the standard bus made my commute much better.
e9522883-67af-4449-920b-0dc5f413a1e7,Boarding was quick and easy because the bus was quiet.
b9aea6f5-cdbe-4d0c-b519-faa8b065d07f,I appreciate the prompt service on route 50 this morning.
a462b032-eade-42f5-92ef-a3a88e03ac4c,I love the real-time updates; they told me the bus was 5 minutes away.
e7a7f603-9360-4d9c-9840-8aafd9ccf95e,The comfortable seats on the hybrid bus made my commute much better.
8fccc136-6d93-4670-80c4-f401a8ade9ff,I felt safe riding through downtown on route 246 thanks to the prompt driver.
a5ef61c7-54f4-4802-b494-546da821704b,I appreciate the polite service on route 246 this morning.
f3ec6e72-7b83-4292-aa96-3d0fb0f01d2c,I felt safe riding through downtown on route 268 thanks to the helpful driver.
91e87ced-3b6b-4d77-997f-2c675558646b,The well-maintained seats on the double-decker made my commute much better.
f840ebaa-00b9-45a1-bcfd-311f6849accb,I love the real-time updates; they told me the bus was 10 minutes away.
0803fc60-d77f-448c-955e-feb5b23d9457,I wish the bus arrived on time; today it was 15 minutes late.
7b23eec9-ad77-47c9-b104-8b46927e5960,I felt safe riding through downtown on route 246 thanks to the prompt driver.
b09e6b52-fbd4-4ec5-9a9f-75766dfab572,Please continue to keep the buses clean; it makes a big difference.
3065992f-8cf9-4b66-bd9a-008cd4681892,Boarding was quick and easy because the bus was well-maintained.
93f85df0-cbfa-484b-a83d-24b8921990c3,I love the real-time updates; they told me the bus was 15 minutes away.
28d2348f-8180-4589-b0f8-60225a8d37e5,The driver on bus 180 was reliable and helped me with my bags.
01a81913-b1c3-48e2-80ff-2530d6e4f288,The climate-controlled seats on the electric bus made my commute much better.
a8a04941-a71b-4573-a8b1-4beb051e5864,Boarding was quick and easy because the bus was climate-controlled.
648717c6-fd0d-47de-b380-a63949b4815b,The driver's prompt attitude improved my day!
ae845267-de68-4412-af51-3cd972e6225b,The driver on bus 105 was courteous and helped me with my bags.
c5a6ade1-fc7a-4a10-ad14-382aa89cd7e4,The driver on bus 246 was professional and helped me with my bags.
55a730a7-6d01-4876-9ffe-8ce6a6fc0841,Please continue to keep the buses clean; it makes a big difference.
4412ea14-b991-45a8-a021-a36bff29479f,I love the real-time updates; they told me the bus was 10 minutes away.
136a41b5-6200-488d-bc5f-3ac68d08829b,Boarding was quick and easy because the bus was spotless.
92f35e18-19e2-4f6e-914b-61ec7123e306,The driver on bus 180 was attentive and helped me with my bags.
49718857-da1e-4c62-af7c-6680262f94f2,I felt safe riding through downtown on route 271 thanks to the helpful driver.
5174d38b-22a2-4650-9dca-d0d67f25ce57,The stop near Edmonds Station could use better lighting and seating.
b6dba1f3-af91-45a6-b754-93da740d255d,The stop near Paine Field could use better lighting and seating.
04a65ca9-b58c-4174-a8a0-7983761ea6c4,The driver on bus 162 was organized and helped me with my bags.
402ad69d-6c2e-480f-910b-17363391ee9b,I appreciate the organized service on route 201 this morning.
607120b6-1a9b-43b5-8e5f-8a8673e12c27,The driver on bus 50 was helpful and helped me with my bags.
86240eb4-08f6-49e3-bded-213eaa86ad01,The driver's friendly attitude improved my day!
c6b3197f-7c09-487f-b2a7-139f642029db,The stop near Paine Field could use better lighting and seating.
d35fc009-56c7-4b3d-8451-a965ba77be6f,Please continue to keep the buses clean; it makes a big difference.
8277a0e1-321e-4b1b-936e-7d047ab48979,I appreciate the attentive service on route 150 this morning.
83364b86-bbe6-49c7-aeab-257398dbcbd1,I appreciate the reliable service on route 268 this morning.
2f36ae9f-b5da-4277-8c57-b6d040dde448,I felt safe riding through downtown on route 201 thanks to the polite driver.
00e44cc4-bfa8-445e-86ba-fdae2d819170,The driver on bus 50 was prompt and helped me with my bags.
9bb30b12-131e-4b47-9cd6-06b9053ce8a1,Boarding was quick and easy because the bus was spotless.
a7b9e6a0-e5af-4aeb-b8ca-d07d3e300904,I felt safe riding through downtown on route 162 thanks to the attentive driver.
b8033ddd-0f49-4621-b12b-b8b17d995220,The well-maintained seats on the hybrid bus made my commute much better.
848cc5c1-c8e0-4032-8351-69515393f1b2,I felt safe riding through downtown on route 150 thanks to the reliable driver.
a577cbf9-7eac-4a3e-978a-110f77f061f1,I wish the bus arrived on time; today it was 5 minutes late.
3f5b010b-061d-4156-9294-f9036f7dd7b5,Boarding was quick and easy because the bus was spotless.
6c0811d9-424f-4e8c-85c6-2604dcea7341,The driver on bus 105 was reliable and helped me with my bags.
4ed05b25-f9cd-490c-8983-0f6f6688e4c8,The driver on bus 246 was polite and helped me with my bags.
bee426d4-bb52-4508-9037-dde252767da3,The driver on bus 150 was friendly and helped me with my bags.
8ea4eb10-0058-4f0f-9404-3ab4e2eb2046,I wish the bus arrived on time; today it was 20 minutes late.
72dd8ed7-7e0a-4965-997d-a5ce6223bfec,I wish the bus arrived on time; today it was 20 minutes late.
6b4e6cd1-fd0f-458e-8702-3dbf20448bba,The stop near Edmonds Station could use better lighting and seating.
